Distance,Hours ,Introvert
7606,21,Introversion
7606,21,Introversion
3800,20,Introversion
7102,20,Introversion
6000,20,Introversion
7756,18,Introversion
7100,17,Introversion
6800,14,Extroversion
787,13,Introversion
812,13,Introversion
800,12,Introversion
500,11,Introversion
675,11,Extroversion
499,10,Extroversion
504.4,9,Extroversion
532,9,Extroversion
460,9,Extroversion
640,9,Introversion
500,8,Extroversion
487,7.75,Extroversion
731,7,Extroversion
276,5.5,Introversion
271,5,Extroversion
279,4.5,Introversion
225,3.5,Extroversion
120,3,Extroversion
190,3,Introversion
172,3,Introversion
167.1,3,Extroversion
190,3,Introversion
130,2.5,Extroversion
159,2.5,Introversion
120,2.5,Extroversion
150,2.5,Introversion
160,2.5,Extroversion
130,2.25,Introversion
127,2.25,Extroversion
100,2,Extroversion
130,2,Extroversion
20,2,Extroversion
113,2,Extroversion
110,2,Introversion
85,1.5,Introversion
85,1.5,Introversion
44,1.5,Introversion
70,1.5,Introversion
85,1.5,Introversion
90,1.5,Introversion
620,1.5,Extroversion
80,1.5,Extroversion
55,1.2,Extroversion
45,1,Extroversion
68,1,Introversion
64,1,Extroversion
56,1,Introversion
30,0.8,Extroversion
30,0.75,Extroversion
23,0.75,Extroversion
2.5,0.5,Introversion
22,0.5,Introversion
26,0.5,Extroversion
15,0.5,Introversion
10,0.5,Extroversion
20,0.5,Introversion
14,0.43,Introversion
10,0.33,Extroversion
2,0.3,Extroversion
14,0.3,Extroversion
0.5,0.3,Introversion
1,0.25,Extroversion
2,0.25,Extroversion
2,0.25,Introversion
0.2,0.2,Introversion
7.4,0.2,Extroversion
2,0.15,Extroversion
0.15,0.12,Introversion
5,0.1,Introversion
3,0,Introversion
0,0,Introversion
